var1,var2,var3,score,d12,d13,d23
bjet_bijet_dR,all_sT,all_jets_HT,0.0933151195748181,0.1259244240536108,0.1321110944499093,0.02190984022093423
blnu_pt,bjets_mean_pt,blnu_mT,0.09282666010445785,0.09804407438632967,0.16149054059681955,0.01894536533022434
bjet_bijet_dR,bjets_mean_pt,bjets_dEta,0.09180127876016995,0.2656639754849141,0.008329799498108772,0.0014100612974870081
bjet_bijet_dR,blnu_pt,blnu_mT,0.09172959371531016,0.03708764456251662,0.07661059598659428,0.16149054059681955
bjets_mbb,blnu_pt,all_sT,0.09142400294812258,0.07539810790175944,0.06842542974127458,0.13044847120133374
bb_lnu_dR,blnu_mT,all_sT,0.08676296220814288,0.13022346202352764,0.08586353334407967,0.04420189125682128
bb_lnu_dR,bjets_mean_pt,blnu_mT,0.08610314259493883,0.10914060043106451,0.13022346202352764,0.01894536533022434
bjets_pt_bb,bjets_dR,bjet_bijet_dR,0.084681296287754,0.12258617926090642,0.09848211418504033,0.03297559541731526
bb_lnu_dR,blnu_pt,all_sT,0.08387447211955949,0.03531141181326505,0.08586353334407967,0.13044847120133374
bb_lnu_dR,bjets_mean_pt,all_jets_HT,0.08360715973980493,0.10914060043106451,0.08823226372935125,0.053448615058999005
bjets_pt_bb,met_pt,blnu_mT,0.0829726105789898,0.08908698915494352,0.1402687949299089,0.019562047652117
bjet_bijet_dR,blnu_mT,all_sT,0.08224563709900878,0.07661059598659428,0.1259244240536108,0.04420189125682128
bb_lnu_dR,blnu_pt,bjets_mean_pt,0.08083202887688641,0.03531141181326505,0.10914060043106451,0.09804407438632967
bb_lnu_dR,bjets_mean_pt,met_pt,0.07987179768254153,0.10914060043106451,0.025053343142253548,0.10542144947430657
bjets_mbb,bb_lnu_dR,all_jets_HT,0.07927849586143053,0.05486892162501176,0.09473430222992857,0.08823226372935125
blnu_pt,bjets_mean_pt,met_pt,0.07746455866438372,0.09804407438632967,0.028928152132514928,0.10542144947430657
bjet_bijet_dR,bb_lnu_dR,blnu_pt,0.07745458193596286,0.1599646894321069,0.03708764456251662,0.03531141181326505
jj_lnu_dPhi,bjets_dR,bjets_mbb,0.07739613995637887,0.028069380913158123,0.010496657682622184,0.1936223812733563
bjets_pt_bb,trijet_bijet_dEta,all_sT,0.07723353060187357,0.017581309393871297,0.2069621962910037,0.007157086120745722
bjets_dR,bjets_mbb,bjets_dPhi,0.07720802173110074,0.1936223812733563,0.02191866624057564,0.01608301767937029
bjets_mbb,bjet_bijet_dR,blnu_pt,0.07677315496561739,0.1178337124325761,0.07539810790175944,0.03708764456251662
bjets_pt_bb,bjets_dPhi,all_sT,0.07588717186357635,0.007471281618014121,0.2069621962910037,0.013228037681711255
bjets_mbb,blnu_mT,all_sT,0.07571978000279561,0.11453201901029098,0.06842542974127458,0.04420189125682128
bjets_pt_bb,bb_lnu_dR,trijet_bijet_dEta,0.07558916979255242,0.18750517492604907,0.017581309393871297,0.02168102505773692
bjets_pt_bb,bb_lnu_dPhi,all_sT,0.07529494963575466,0.006704942798968475,0.2069621962910037,0.012217709817291799
jj_lnu_dPhi,bjets_pt_bb,all_sT,0.07507605616188776,0.017172462181984195,0.0010935100126753642,0.2069621962910037
bjets_pt_bb,bb_lnu_dR,blnu_pt,0.07478851478039196,0.18750517492604907,0.0015489576018617723,0.03531141181326505
bjets_pt_bb,bjets_dEta,all_sT,0.07448894379255468,0.0009011538485790019,0.2069621962910037,0.015603481238081345
bjets_mean_pt,met_pt,all_sT,0.07356947449709215,0.10542144947430657,0.10089798723625665,0.014388986780713264
blnu_pt,met_pt,all_jets_HT,0.07340604457342279,0.028928152132514928,0.16316660152156937,0.02812338006618406
bjets_pt_bb,bb_lnu_dPhi,bb_lnu_dR,0.0729866699583547,0.006704942798968475,0.18750517492604907,0.024749892150046575
bjets_pt_bb,bjets_mbb,met_pt,0.07256772765884757,0.09201801151443437,0.08908698915494352,0.03659818230716484
jj_lnu_dPhi,bjets_pt_bb,bb_lnu_dR,0.07255572115591165,0.017172462181984195,0.012989526359701676,0.18750517492604907
bjets_mbb,bjets_dPhi,bjets_mean_pt,0.07076709537561564,0.01608301767937029,0.17997210322983015,0.01624616521764647
jj_lnu_dPhi,bjets_pt_bb,all_jets_HT,0.07057071618352119,0.017172462181984195,0.006755094453830402,0.187784591914749
bjets_pt_bb,trijet_bijet_dEta,all_jets_HT,0.07052333389506414,0.017581309393871297,0.187784591914749,0.006204100376572152
blnu_pt,met_pt,blnu_mT,0.0699935801271505,0.028928152132514928,0.16149054059681955,0.019562047652117
bjets_pt_bb,bjets_dPhi,all_jets_HT,0.06996253041809412,0.007471281618014121,0.187784591914749,0.014631717721519248
bjets_mbb,bb_lnu_dR,all_sT,0.06971929490345534,0.05486892162501176,0.06842542974127458,0.08586353334407967
jj_lnu_dPhi,bjets_mbb,bjets_mean_pt,0.06962134322363087,0.010496657682622184,0.018395268758440275,0.17997210322983015
bjets_dR,bjets_mbb,bjets_dEta,0.06861922799887783,0.1936223812733563,0.007829379883086742,0.004405922840190489
bjets_dR,bjets_mbb,trijet_bijet_dEta,0.06854700659549144,0.1936223812733563,0.006783182272184257,0.005235456240933763
bjets_pt_bb,bjets_dEta,all_jets_HT,0.068079345349967,0.0009011538485790019,0.187784591914749,0.015552290286572975
bjets_pt_bb,bb_lnu_dR,bjets_dEta,0.06795344869690734,0.18750517492604907,0.0009011538485790019,0.015454017316093955
blnu_pt,bjets_dEta,all_jets_HT,0.0674853370354712,0.023737119298271242,0.16316660152156937,0.015552290286572975
bjets_pt_bb,bjet_bijet_dR,met_pt,0.06730931374911316,0.09848211418504033,0.08908698915494352,0.014358837907355662
bjets_pt_bb,bb_lnu_dPhi,all_jets_HT,0.06700048244715624,0.006704942798968475,0.187784591914749,0.006511912627751289
bjets_dR,bjets_mbb,bb_lnu_dPhi,0.06688002084810296,0.1936223812733563,0.0031635996788646386,0.0038540815920879365
blnu_pt,bjets_dEta,blnu_mT,0.0661455946732727,0.023737119298271242,0.16149054059681955,0.01320912412472729
bjets_mbb,bjets_mean_pt,trijet_bijet_dEta,0.06577155605021136,0.17997210322983015,0.005235456240933763,0.012107108679870136
bjets_pt_bb,bjets_dPhi,bb_lnu_dR,0.06546558171263714,0.007471281618014121,0.18750517492604907,0.0014202885938482393
bb_lnu_dR,all_sT,all_jets_HT,0.06533521243145506,0.08586353334407967,0.08823226372935125,0.02190984022093423
blnu_pt,trijet_bijet_dEta,blnu_mT,0.06461735607187082,0.0075185167834055855,0.16149054059681955,0.024843010835387303
bb_lnu_dPhi,blnu_pt,blnu_mT,0.06453219353211447,0.020134127834207437,0.011971912165316383,0.16149054059681955
bb_lnu_dPhi,blnu_pt,all_jets_HT,0.06327088066117603,0.020134127834207437,0.006511912627751289,0.16316660152156937
bjets_mbb,bb_lnu_dPhi,bjets_mean_pt,0.06270438682945877,0.0038540815920879365,0.17997210322983015,0.004286975666458193
bjets_mean_pt,met_pt,all_jets_HT,0.06233114819982988,0.10542144947430657,0.053448615058999005,0.02812338006618406
jj_lnu_dPhi,blnu_pt,blnu_mT,0.06200053737405401,0.011910713423304206,0.012600358102038281,0.16149054059681955
bjets_mbb,bjets_mean_pt,bjets_dEta,0.06192936245583588,0.17997210322983015,0.004405922840190489,0.0014100612974870081
bjets_mbb,all_sT,all_jets_HT,0.06168985739737912,0.06842542974127458,0.09473430222992857,0.02190984022093423
