,i,j,MI_S,MI_B,delta
1499,trijet_mInv,all_jets_HT,0.1881264347002079,0.14977184793796788,0.03835458676224002
1495,trijet_mInv,trijet_bijet_dPhi,0.0573950493396928,0.019186855363959796,0.038208193975733
57,bjet0_pt,jj_lnu_dPhi,0.04183819133063706,0.003783319466297525,0.038054871864339535
862,ak4_jet0_bscore,jj_lnu_dPhi,0.06755632642289228,0.029574601591027497,0.03798172483186478
1573,nAK4_nonbtag,bjets_dR,0.03940634735046822,0.0014394535853906407,0.03796689376507758
1026,jj_l_dPhi,blnu_bl_mInv,0.06495800323093137,0.027045004703885912,0.03791299852704546
1447,blnu_bl_mInv,bjet1_pt,0.05281635262474246,0.014928717749533575,0.03788763487520889
1311,jj_l_dR,met_pt,0.040658214977963014,0.002870870454986619,0.0377873445229764
1431,WW_mT,bjets_dR,0.03976775066418921,0.0021711963991291085,0.0375965542650601
742,all_mT,nAK4,0.08468621996069739,0.12228021412543033,0.03759399416473294
754,all_mT,blnu_mT,0.2960470014415734,0.3336360723392621,0.0375890708976887
954,ak4_jet3_pt,bjets_mean_pt,0.05477539231460052,0.09233289593590627,0.03755750362130575
552,WW_pt,trijet_pt_rat,0.042519234417523574,0.004970991958837177,0.0375482424586864
1113,blnu_lnu_mT,jj_l_dR,0.056205136662298705,0.018761855744137,0.03744328091816171
809,trijet_pt_rat,all_sT,0.019096552415842776,0.0564899739670755,0.03739342155123272
1050,jj_l_dPhi,met_pt,0.041927135330270086,0.004579380757868724,0.03734775457240136
167,all_mInv,nAK4,0.08526485187885412,0.12257421689920309,0.03730936502034897
1559,nAK4_nonbtag,nAK4,0.355338013512197,0.3923904649656581,0.03705245145346109
433,lep0_pt,blnu_pt,0.04099199279441485,0.07792825401943389,0.036936261225019036
1166,jj_lnu_dEta,bjet_bijet_dEta,0.2906623285436857,0.253740520758407,0.036921807785278704
489,ak4_jet1_pt,bjets_pt_bb,0.1430614132415869,0.10622736824242568,0.03683404499916121
2080,bjets_dPhi,all_sT,0.03952535501204148,0.002702377908644152,0.036822977103397325
1267,trijet_pt,WW_mInv,0.19099771478006947,0.2277703074980177,0.03677259271794822
1199,jj_lnu_dR,trijet_pt,0.09544590728450116,0.05894417856309067,0.036501728721410484
2038,all_jets_HT,bjets_mbb,0.0756865693875978,0.11218782213268275,0.03650125274508495
585,WW_pt,trijet_bijet_dPhi,0.048116380041282436,0.011699758047707912,0.036416621993574524
2024,WW_mInv,blnu_pt,0.17541515863562718,0.21176662973767296,0.036351471102045785
816,trijet_pt_rat,bjets_pt_bb,0.05593088016674588,0.01958684908580232,0.03634403108094356
546,min_b_lnu_dPhi,bjets_pt_bb,0.0871081205111784,0.05080496258713152,0.03630315792404688
1305,jj_l_dR,trijet_bijet_dPhi,0.06033513052647878,0.024037311790134137,0.03629781873634464
1859,nAK4,all_sT,0.07362222051881082,0.1097324661893755,0.036110245670564686
2064,met_pt,bjets_pt_bb,0.0460057866286773,0.010037040065691935,0.03596874656298536
2047,bjets_mean_pt,bb_lnu_dPhi,0.04233599871407139,0.006420205129942399,0.035915793584129
782,trijet_pt_rat,trijet_mInv,0.07833763339718518,0.04248761161171684,0.03585002178546834
1238,jj_lnu_dR,bb_lnu_dR,0.09817862876916193,0.06247934372109125,0.035699285048070684
591,WW_pt,met_pt,0.05057230209771736,0.014917089892114682,0.03565521220560268
1432,WW_mT,all_sT,0.35139036889717534,0.38698520602934594,0.0355948371321706
701,ak4_jet2_pt,blnu_mT,0.058158615559812284,0.09370359479418314,0.03554497923437085
91,ak4_jet0_pt,blnu_bl_mInv,0.04741122453697222,0.01188673637711771,0.03552448815985451
18,bjet0_pt,trijet_bijet_dR,0.05484009003957763,0.019630439459879134,0.03520965057969849
729,all_mT,blnu_bl_mInv,0.0791177747191512,0.04409159165101022,0.03502618306814098
1853,nAK4,all_jets_HT,0.10840454353065795,0.1434149101768635,0.03501036664620555
154,all_mInv,blnu_bl_mInv,0.07906885741898623,0.04412499495092608,0.034943862468060145
73,ak4_jet0_pt,bjet_bijet_dPhi,0.040842387691622205,0.005917660597409932,0.03492472709421227
866,ak4_jet0_bscore,bb_lnu_dR,0.05465862170089974,0.01981013641314536,0.034848485287754374
1024,jj_l_dPhi,jj_l_dEta,0.03722619540700618,0.0026257137685128246,0.03460048163849336
1152,blnu_lnu_mT,bjets_pt_bb,0.05006386345712777,0.015510535651464461,0.03455332780566331
1180,jj_lnu_dEta,mjj,0.03723773966179689,0.0027223328729561493,0.03451540678884074
2048,bjets_mean_pt,bjets_dEta,0.036773613355328846,0.0023105963037609693,0.034463017051567874
828,ak4_jet0_bscore,jj_l_dR,0.04056184369091098,0.006203653910482169,0.034358189780428816
826,ak4_jet0_bscore,jj_lnu_dR,0.0545369110210242,0.020356249060740825,0.03418066196028337
493,min_b_lnu_dPhi,bjet_bijet_dPhi,0.10792363866299579,0.14209756501413023,0.03417392635113445
1674,bjet1_pt,bjets_dEta,0.035982278883930345,0.0018245023052629976,0.03415777657866735
1749,ak4_jet1_eta,bb_lnu_dEta,0.05333349826006519,0.0874509766498586,0.034117478389793406
2077,blnu_mT,bjets_mbb,0.05527249795555384,0.08919501420878137,0.03392251625322753
915,min_b_l_dR,bjet_bijet_dR,0.042438130368282215,0.008873510687926207,0.03356461968035601
21,bjet0_pt,jj_lnu_dR,0.03670952289615715,0.003176761812188917,0.03353276108396823
