llr_name,mu_value,llr_type,n_variables
lep0_pt_x_bjets_mbb_x_bjets_dR_x_bjets_pt_bb_x_bjet1_pt_x_blnu_mT_x_blnu_pt_x_trijet_mInv_x_trijet_pt_rat_llr,252.625,from_multivar,9
lep0_pt_x_bjets_mbb_x_bjets_pt_bb_x_bjet1_pt_x_blnu_pt_x_trijet_mInv_llr,252.625,from_multivar,6
bjets_mbb_x_bjets_dR_x_bjets_pt_bb_x_bjet0_pt_x_blnu_pt_x_trijet_mInv_x_trijet_pt_llr,252.75,from_multivar,7
lep0_pt_x_bjets_mbb_x_bjets_pt_bb_x_bjet0_pt_x_bjet1_pt_x_blnu_mT_x_blnu_pt_x_trijet_mInv_x_trijet_pt_llr,252.75,from_multivar,9
lep0_pt_x_bjets_mbb_x_bjets_dR_x_bjets_pt_bb_x_bjet0_pt_x_blnu_pt_x_trijet_mInv_x_trijet_pt_llr,252.9375,from_multivar,8
bjets_mbb_x_bjets_pt_bb_x_bjet0_pt_x_bjet1_pt_x_trijet_pt_x_trijet_pt_rat_llr,252.9375,from_multivar,6
bjets_mbb_x_bjets_dR_x_bjets_pt_bb_x_bjet0_pt_x_bjet1_pt_x_blnu_pt_x_trijet_pt_rat_llr,253.25,from_multivar,7
bjets_mbb_x_bjets_dR_x_bjets_pt_bb_x_bjet1_pt_x_blnu_mT_x_blnu_pt_x_trijet_mInv_llr,253.25,from_multivar,7
bjets_mbb_x_bjets_dR_x_bjets_pt_bb_x_bjet1_pt_x_blnu_mT_x_blnu_pt_x_trijet_pt_rat_llr,253.25,from_multivar,7
bjets_mbb_x_bjets_pt_bb_x_blnu_mT_x_blnu_pt_x_trijet_mInv_llr,253.25,from_multivar,5
lep0_pt_x_bjets_mbb_x_bjets_pt_bb_x_blnu_mT_x_blnu_pt_x_trijet_mInv_llr,253.25,from_multivar,6
bjets_mbb_x_bjets_pt_bb_x_bjet1_pt_x_blnu_mT_x_blnu_pt_x_trijet_pt_rat_llr,253.25,from_multivar,6
lep0_pt_x_bjets_mbb_x_bjets_dR_x_bjets_pt_bb_x_bjet1_pt_x_trijet_pt_llr,253.25,from_multivar,6
lep0_pt_x_bjets_mbb_x_bjets_dR_x_bjets_pt_bb_x_blnu_pt_x_trijet_bijet_dR_llr,253.25,from_multivar,6
lep0_pt_x_bjets_mbb_x_bjets_pt_bb_x_bjet1_pt_x_blnu_mT_x_blnu_pt_llr,253.25,from_multivar,6
bjets_mbb_x_bjets_pt_bb_x_bjet1_pt_x_blnu_pt_x_trijet_mInv_llr,253.25,from_multivar,5
bjets_mbb_x_bjets_dR_x_bjets_pt_bb_x_bjet1_pt_x_blnu_pt_x_trijet_bijet_dR_llr,253.625,from_multivar,6
lep0_pt_x_bjets_mbb_x_bjets_pt_bb_x_blnu_mT_x_blnu_pt_llr,253.75,from_multivar,5
bjets_mbb_x_bjets_pt_bb_x_bjet0_pt_x_bjet1_pt_x_blnu_pt_x_trijet_pt_rat_llr,253.75,from_multivar,6
lep0_pt_x_bjets_mbb_x_bjets_dR_x_bjets_pt_bb_x_blnu_mT_x_blnu_pt_x_trijet_mInv_llr,253.8125,from_multivar,7
bjets_mbb_x_bjets_pt_bb_x_bjet1_pt_x_blnu_mT_x_blnu_pt_x_trijet_mInv_x_trijet_pt_rat_llr,253.875,from_multivar,7
lep0_pt_x_bjets_mbb_x_bjets_dR_x_bjets_pt_bb_x_bjet0_pt_x_bjet1_pt_x_blnu_pt_x_trijet_pt_x_trijet_pt_rat_llr,254.0,from_multivar,9
bjets_mbb_x_bjets_dR_x_bjets_pt_bb_x_blnu_mT_x_blnu_pt_x_trijet_bijet_dR_llr,254.0,from_multivar,6
bjets_mbb_x_bjets_pt_bb_x_bjet1_pt_x_blnu_mT_x_blnu_pt_llr,254.0,from_multivar,5
lep0_pt_x_bjets_mbb_x_bjets_pt_bb_x_bjet0_pt_x_blnu_pt_x_trijet_pt_rat_llr,254.25,from_multivar,6
bjets_mbb_x_bjets_dR_x_bjets_pt_bb_x_bjet0_pt_x_bjet1_pt_x_blnu_mT_x_blnu_pt_x_trijet_mInv_x_trijet_pt_x_trijet_pt_rat_llr,254.25,from_multivar,10
lep0_pt_x_bjets_mbb_x_bjets_dR_x_bjets_pt_bb_x_bjet0_pt_x_blnu_mT_x_blnu_pt_x_trijet_pt_x_trijet_pt_rat_llr,254.25,from_multivar,9
